# Free energy fit and its derivatives
# Output file:          example.dat
# T0 (K):               2.981500e+02
# Max iterations:       10000000
# Step size:            1.000000e-04
# Tolerance:            1.000000e-06
# Fit converged
# Initial guesses: 
#   alpha   = -2.600000e+01
#   beta    = 1.000000e+00
#   gamma   = -2.000000e+00
# Fitted parameters: 
#   alpha   = 1.984297e+00
#   beta    = 6.503778e-02
#   gamma   = -4.937953e-02
#   chi2    = 2.142669e-03
#              T (K)    Gdata (kcal/mol)     Gfit (kcal/mol)      -TS (kcal/mol)        H (kcal/mol) 
        2.781500e+02        1.625000e+00        1.637241e+00        5.309042e+00       -3.671801e+00
        2.831500e+02        1.724000e+00        1.730470e+00        5.155373e+00       -3.424903e+00
        2.881500e+02        1.827000e+00        1.819339e+00        4.997345e+00       -3.178006e+00
        2.931500e+02        1.926000e+00        1.903923e+00        4.835032e+00       -2.931108e+00
        2.981500e+02        2.004000e+00        1.984297e+00        4.668507e+00       -2.684210e+00
        3.031500e+02        2.038000e+00        2.060529e+00        4.497842e+00       -2.437313e+00
        3.081500e+02        2.140000e+00        2.132689e+00        4.323104e+00       -2.190415e+00
        3.131500e+02        2.198000e+00        2.200843e+00        4.144360e+00       -1.943518e+00
        3.181500e+02        2.251000e+00        2.265054e+00        3.961674e+00       -1.696620e+00
        3.231500e+02        2.319000e+00        2.325385e+00        3.775108e+00       -1.449722e+00
        3.281500e+02        2.374000e+00        2.381896e+00        3.584721e+00       -1.202825e+00
        3.331500e+02        2.439000e+00        2.434645e+00        3.390572e+00       -9.559270e-01
        3.381500e+02        2.495000e+00        2.483688e+00        3.192717e+00       -7.090294e-01
